test_row,message,label,cleaned_message,prediction,error_type
0,"Để phòng ngừa bệnh tay chân miệng, người chăm sóc trẻ và trẻ cần rửa tay thường xuyên bằng xà phòng; Lau sạch các bề mặt, vật dụng tiếp xúc hàng ngày như đồ chơi, bàn ghế, sàn nhà... Đưa trẻ đi khám ngay tại các cơ sở y tế gần nhất khi trẻ có các biểu hiện sốt, nổi hồng ban bóng nước ở lòng bàn tay, bàn chân, loét miệng, giật mình.",0,để phòng ngừa bệnh tay chân miệng người chăm sóc trẻ và trẻ cần rửa tay thường xuyên bằng xà phòng lau sạch các bề mặt vật dụng tiếp xúc hàng ngày như đồ chơi bàn ghế sàn nhà đưa trẻ đi khám ngay tại các cơ sở y tế gần nhất khi trẻ có các biểu hiện sốt nổi hồng ban bóng nước ở lòng bàn tay bàn chân loét miệng giật mình,1,FP
3,"(TB) Phòng Cảnh sát giao thông đường bộ - đường sắt Công an Thành phố Hồ Chí Minh khuyến cáo: điều khiển phương tiện sau khi đã sử dụng rượu bia là một trong những nguyên nhân hàng đầu dẫn đến các vụ tai nạn giao thông đặc biệt nghiêm trọng, để lại hậu quả thương tâm cho chính gia đình bạn và xã hội. Vì sức khỏe và an toàn của chính bạn: “Đã uống rượu bia - không lái xe”.",0,tb phòng cảnh sát giao thông đường bộ đường sắt công an thành phố hồ chí minh khuyến cáo điều khiển phương tiện sau khi đã sử dụng rượu bia là một trong những nguyên nhân hàng đầu dẫn đến các vụ tai nạn giao thông đặc biệt nghiêm trọng để lại hậu quả thương tâm cho chính gia đình bạn và xã hội vì sức khỏe và an toàn của chính bạn đã uống rượu bia không lái xe,1,FP
4,(TB) Phòng Cảnh sát giao thông đường bộ - đường sắt Công an Thành phố Hồ Chí Minh khuyến cáo: Cảnh sát giao thông không gọi điện thoại để yêu cầu chuyển tiền nộp phạt vi phạm hành chính qua các link hoặc tài khoản do các đối tượng lừa đảo cung cấp. Việc nộp phạt vi phạm hành chính được thực hiện trực tiếp tại trụ sở lực lượng Cảnh sát giao thông hoặc thông qua Cổng dịch vụ công quốc gia tại địa chỉ https://dichvucong.gov.vn hoặc Cổng dịch vụ công Bộ Công an tại địa chỉ https://dichvucong.bocongan.gov.vn,0,tb phòng cảnh sát giao thông đường bộ đường sắt công an thành phố hồ chí minh khuyến cáo cảnh sát giao thông không gọi điện thoại để yêu cầu chuyển tiền nộp phạt vi phạm hành chính qua các link hoặc tài khoản do các đối tượng lừa đảo cung cấp việc nộp phạt vi phạm hành chính được thực hiện trực tiếp tại trụ sở lực lượng cảnh sát giao thông hoặc thông qua cổng dịch vụ công quốc gia tại địa chỉ __url__ hoặc cổng dịch vụ công bộ công an tại địa chỉ __url__,1,FP
7,"(TB) Chúc mừng năm mới Quý Mão [NUMBER]! Người dân chủ động sắp xếp thời gian trở lại nơi làm việc và sinh sống tại các thành phố lớn, tránh tình trạng ùn tắc giao thông vào cuối dịp nghỉ lễ, tuyệt đối không điều khiển phương tiện khi đã sử dụng rượu, bia và các chất kích thích khác.",0,tb chúc mừng năm mới quý mão __number__ người dân chủ động sắp xếp thời gian trở lại nơi làm việc và sinh sống tại các thành phố lớn tránh tình trạng ùn tắc giao thông vào cuối dịp nghỉ lễ tuyệt đối không điều khiển phương tiện khi đã sử dụng rượu bia và các chất kích thích khác,1,FP
12,Công ty điện lực thủ đức đã tiếp nhận thông tin của quý khách ! ĐL đã cử a Hoàng khảo sát với số ĐT :[NUMBER] khảo sát ngày [DATE],0,công ty điện lực thủ đức đã tiếp nhận thông tin của quý khách đl đã cử a hoàng khảo sát với số đt __number__ khảo sát ngày __date__,1,FP
16,"Trẻ em cần được học bơi và học kỹ năng an toàn để phòng, chống đuối nước.",0,trẻ em cần được học bơi và học kỹ năng an toàn để phòng chống đuối nước,1,FP
20,"Phòng, chống ma túy quyết liệt, hiệu quả, nâng cao trách nhiệm, chủ động phối hợp - Vì một cộng đồng sạch ma túy.",0,phòng chống ma túy quyết liệt hiệu quả nâng cao trách nhiệm chủ động phối hợp vì một cộng đồng sạch ma túy,1,FP
22,"đơn 51/9 đường 475 a giao giùm e [TIME] đc kh a
Có đon od em bỏ vô nhà có j lây giúp em nha a tài
dạ oke e cảm ơn a",0,đơn 51 9 đường 475 a giao giùm e __time__ đc kh a có đon od em bỏ vô nhà có j lây giúp em nha a tài dạ oke e cảm ơn a,1,FP
45,"Telegram code: [NUMBER] 
You can also tap on this link to log in: 
https://t.me/login/[NUMBER]",0,telegram code __number__ you can also tap on this link to log in __url__ __number__,1,FP
46,Telegram code [NUMBER],0,telegram code __number__,1,FP
