test_row,message,label,cleaned_message,prediction,error_type
4,(TB) Phòng Cảnh sát giao thông đường bộ - đường sắt Công an Thành phố Hồ Chí Minh khuyến cáo: Cảnh sát giao thông không gọi điện thoại để yêu cầu chuyển tiền nộp phạt vi phạm hành chính qua các link hoặc tài khoản do các đối tượng lừa đảo cung cấp. Việc nộp phạt vi phạm hành chính được thực hiện trực tiếp tại trụ sở lực lượng Cảnh sát giao thông hoặc thông qua Cổng dịch vụ công quốc gia tại địa chỉ https://dichvucong.gov.vn hoặc Cổng dịch vụ công Bộ Công an tại địa chỉ https://dichvucong.bocongan.gov.vn,0,tb phòng cảnh sát giao thông đường bộ đường sắt công an thành phố hồ chí minh khuyến cáo cảnh sát giao thông không gọi điện thoại để yêu cầu chuyển tiền nộp phạt vi phạm hành chính qua các link hoặc tài khoản do các đối tượng lừa đảo cung cấp việc nộp phạt vi phạm hành chính được thực hiện trực tiếp tại trụ sở lực lượng cảnh sát giao thông hoặc thông qua cổng dịch vụ công quốc gia tại địa chỉ __url__ hoặc cổng dịch vụ công bộ công an tại địa chỉ __url__,1,FP
16,"Trẻ em cần được học bơi và học kỹ năng an toàn để phòng, chống đuối nước.",0,trẻ em cần được học bơi và học kỹ năng an toàn để phòng chống đuối nước,1,FP
22,"đơn 51/9 đường 475 a giao giùm e [TIME] đc kh a
Có đon od em bỏ vô nhà có j lây giúp em nha a tài
dạ oke e cảm ơn a",0,đơn 51 9 đường 475 a giao giùm e __time__ đc kh a có đon od em bỏ vô nhà có j lây giúp em nha a tài dạ oke e cảm ơn a,1,FP
45,"Telegram code: [NUMBER] 
You can also tap on this link to log in: 
https://t.me/login/[NUMBER]",0,telegram code __number__ you can also tap on this link to log in __url__ __number__,1,FP
75,"Tôi đã nhận được đơn hàng spxvn[NUMBER]a
Vào lúc 13h10 ngày 6 thang 10 . Đồng ý gở khieu nai",0,tôi đã nhận được đơn hàng spxvn __number__ a vào lúc 13h10 ngày 6 thang 10 đồng ý gở khieu nai,1,FP
127,"Hãy gọi tổng đài Quốc Gia Bảo Vệ Trẻ Em 111 để nhận tư vấn, hỗ trợ chăm sóc trẻ em đang phải cách ly do Covid - 19",0,hãy gọi tổng đài quốc gia bảo vệ trẻ em 111 để nhận tư vấn hỗ trợ chăm sóc trẻ em đang phải cách ly do covid 19,1,FP
128,Người lớn hãy nhắc trẻ em hàng ngày về nguy cơ đuối nước. Cho trẻ em học bơi để ngừa đuối nước!,0,người lớn hãy nhắc trẻ em hàng ngày về nguy cơ đuối nước cho trẻ em học bơi để ngừa đuối nước,1,FP
129,"Pháp luật nghiêm cấm mọi hành vi xâm hại trẻ em. Hãy gọi ngay 111 để thông báo khi nghi vấn, phát hiện dấu hiệu, vụ việc xâm hại trẻ em!",0,pháp luật nghiêm cấm mọi hành vi xâm hại trẻ em hãy gọi ngay 111 để thông báo khi nghi vấn phát hiện dấu hiệu vụ việc xâm hại trẻ em,1,FP
139,"Tầm [TIME] anh giao lại giùm em được không anh h nhà em khôg có ng nhận anh ơi
Ok. Có người nhà a hẹn [TIME] ạ",0,tầm __time__ anh giao lại giùm em được không anh h nhà em khôg có ng nhận anh ơi ok có người nhà a hẹn __time__ ạ,1,FP
288,"Em ơi, sáng giờ gọi e 2 lần để giao hàng r. C bên Dr Mai trị mụn",0,em ơi sáng giờ gọi e 2 lần để giao hàng r c bên dr mai trị mụn,1,FP
307,"Bộ trưởng Bộ Giáo dục và Đào tạo kêu gọi toàn thể cán bộ quản lý giáo dục, nhà giáo, người lao động trong ngành, học sinh, sinh viên và cha mẹ học sinh trên toàn quốc hãy thực hiện việc khai báo y tế tự nguyện. 
Hãy tải phần mềm ứng dụng NCOVI tại địa chỉ https://onelink.to/3e6wap hoặc truy cập cổng khai báo điện tử (https://suckhoetoandan.vn/ ; https://tokhaiyte.vn/) để điền thông tin và làm theo các bước hướng dẫn. 
Các gia đình học sinh hãy giúp đỡ, động viên con em mình trong việc khai báo. Khai báo y tế tự nguyện - Hành động thiết thực chiến thắng dịch bệnh Covid-19 - Hãy thực hiện ngay hôm nay!",0,bộ trưởng bộ giáo dục và đào tạo kêu gọi toàn thể cán bộ quản lý giáo dục nhà giáo người lao động trong ngành học sinh sinh viên và cha mẹ học sinh trên toàn quốc hãy thực hiện việc khai báo y tế tự nguyện hãy tải phần mềm ứng dụng ncovi tại địa chỉ __url__ hoặc truy cập cổng khai báo điện tử __url__ __url__ để điền thông tin và làm theo các bước hướng dẫn các gia đình học sinh hãy giúp đỡ động viên con em mình trong việc khai báo khai báo y tế tự nguyện hành động thiết thực chiến thắng dịch bệnh covid 19 hãy thực hiện ngay hôm nay,1,FP
310,"Chính phủ, Thủ tướng Chính phủ: Để phòng chống Covid-19, đề nghị người dân tuân thủ hướng dẫn của cơ quan y tế. Người trên 60 tuổi hãy ở nhà, hạn chế tiếp xúc với người khác. Đeo khẩu trang khi ra ngoài và thường xuyên rửa tay bằng xà phòng hoặc dung dịch sát khuẩn. Tăng cường dinh dưỡng, tập luyện, nâng cao sức khỏe. Mỗi người dân là một chiến sỹ trên mặt trận phòng chống dịch bệnh.",0,chính phủ thủ tướng chính phủ để phòng chống covid 19 đề nghị người dân tuân thủ hướng dẫn của cơ quan y tế người trên 60 tuổi hãy ở nhà hạn chế tiếp xúc với người khác đeo khẩu trang khi ra ngoài và thường xuyên rửa tay bằng xà phòng hoặc dung dịch sát khuẩn tăng cường dinh dưỡng tập luyện nâng cao sức khỏe mỗi người dân là một chiến sỹ trên mặt trận phòng chống dịch bệnh,1,FP
335,Shop ơi em có đặt đơn hàng #[NUMBER] tầm 5 ngày rồi mà chưa thấy giao đến shop vui lòng kiểm tra giúp em với ạ,0,shop ơi em có đặt đơn hàng __number__ tầm 5 ngày rồi mà chưa thấy giao đến shop vui lòng kiểm tra giúp em với ạ,1,FP
337,"Mình gọi từ shop Nowsaigon để xác nhận đơn hàng. Bạn kiểm tra mail xem đơn hàng đã đặt và các thông tin của bạn đã chính xác chưa ạ? Bạn phản hồi qua tin nhắn này luôn giúp mình (không trả lời qua mail) để đơn hàng được gửi đi nhanh chóng ạ.
Nếu bạn không phản hồi, sau 2 ngày đơn hàng bị huỷ
Cảm ơn bạn",0,mình gọi từ shop nowsaigon để xác nhận đơn hàng bạn kiểm tra mail xem đơn hàng đã đặt và các thông tin của bạn đã chính xác chưa ạ bạn phản hồi qua tin nhắn này luôn giúp mình không trả lời qua mail để đơn hàng được gửi đi nhanh chóng ạ nếu bạn không phản hồi sau 2 ngày đơn hàng bị huỷ cảm ơn bạn,1,FP
338,"Bạn chú ý điện thoại để shipper giao hàng ạ
Lần tới nếu k thấy bên mình gọi hoặc nhắn tin xác nhận thì bạn chủ động nhắn qua fb/ig giúp shop ạ
Đơn hàng của bạn được gửi đi rồi ,2-4 ngày nữa bạn nhận dc hàng bạn nhé",0,bạn chú ý điện thoại để shipper giao hàng ạ lần tới nếu k thấy bên mình gọi hoặc nhắn tin xác nhận thì bạn chủ động nhắn qua fb ig giúp shop ạ đơn hàng của bạn được gửi đi rồi 2 4 ngày nữa bạn nhận dc hàng bạn nhé,1,FP
348,A ơi máy a xong rồi. Mai ghé lấy nha a,0,a ơi máy a xong rồi mai ghé lấy nha a,1,FP
363,"Hi bạn! 
Mình bên Bad Boy Sanctuary shop, bên mình đã lấy lại được fanpage facebook.Bạn like và theo dõi chúng mình theo đường link dưới hoặc nếu sợ đây là đường link virus lừa gạt thì search tên shop trên mục tìm kiếm facebook nhé <3 
https://www.facebook.com/badboysanctuary24/ 
Cảm ơn bạn trước đó đã mua hàng bên shop。",0,hi bạn mình bên bad boy sanctuary shop bên mình đã lấy lại được fanpage facebook bạn like và theo dõi chúng mình theo đường link dưới hoặc nếu sợ đây là đường link virus lừa gạt thì search tên shop trên mục tìm kiếm facebook nhé 3 __url__ cảm ơn bạn trước đó đã mua hàng bên shop,1,FP
376,A ơi cái đơn hàng [NUMBER] của e a giao giúp e buổi chiều nha a tầm [TIME] trở lên càng tốt ạ,0,a ơi cái đơn hàng __number__ của e a giao giúp e buổi chiều nha a tầm __time__ trở lên càng tốt ạ,1,FP
